行政區別,no1,no2,no3,有效票數,無效票數,投票數,已領未投票數,發出票數,用餘票數,選舉人數,投票率
總　計,"3,813,365","6,894,744","1,576,861","12,284,970","163,332","12,448,302",291,"12,448,593","6,334,398","18,782,991",66.27
　臺北市,"546,491","757,383","153,804","1,457,678","22,540","1,480,218",73,"1,480,291","695,695","2,175,986",68.03
　新北市,"709,374","1,165,888","252,486","2,127,748","26,481","2,154,229",50,"2,154,279","1,050,088","3,204,367",67.23
　桃園市,"369,013","547,573","156,518","1,073,104","11,898","1,085,002",8,"1,085,010","542,588","1,627,598",66.66
　臺中市,"430,005","793,281","218,810","1,442,096","19,800","1,461,896",41,"1,461,937","676,582","2,138,519",68.36
　臺南市,"219,196","670,608","103,432","993,236","12,457","1,005,693",16,"1,005,709","522,537","1,528,246",65.81
　高雄市,"391,823","955,168","159,765","1,506,756","18,117","1,524,873",22,"1,524,895","729,429","2,254,324",67.64
　新竹縣,"94,603","114,023","59,510","268,136","3,803","271,939",1,"271,940","140,791","412,731",65.89
　苗栗縣,"107,779","130,461","48,788","287,028","3,652","290,680",4,"290,684","157,836","448,520",64.81
　彰化縣,"193,117","378,736","98,807","670,660","10,921","681,581",22,"681,603","341,359","1,022,962",66.63
　南投縣,"83,604","136,104","40,868","260,576","3,649","264,225",4,"264,229","150,893","415,122",63.65
　雲林縣,"86,047","218,842","40,236","345,125","4,997","350,122",6,"350,128","216,079","566,207",61.84
　嘉義縣,"65,425","182,913","31,469","279,807","4,295","284,102",7,"284,109","146,776","430,885",65.93
　屏東縣,"121,291","285,297","42,768","449,356","5,595","454,951",6,"454,957","234,213","689,170",66.01
　宜蘭縣,"59,216","144,798","29,288","233,302","3,188","236,490",9,"236,499","132,712","369,211",64.05
　花蓮縣,"73,894","57,198","23,751","154,843","2,342","157,185",1,"157,186","110,676","267,862",58.68
　臺東縣,"43,581","37,517","16,565","97,663","1,208","98,871",13,"98,884","80,663","179,547",55.07
　澎湖縣,"12,564","21,658","8,401","42,623",643,"43,266",0,"43,266","40,956","84,222",51.37
　基隆市,"68,357","93,402","31,955","193,714","2,432","196,146",6,"196,152","110,396","306,548",63.99
　新竹市,"71,771","113,386","36,198","221,355","3,138","224,493",0,"224,493","104,087","328,580",68.32
　嘉義市,"38,822","83,143","16,926","138,891","1,492","140,383",2,"140,385","70,373","210,758",66.61
　金門縣,"24,327","6,626","5,852","36,805",599,"37,404",0,"37,404","73,982","111,386",33.58
　連江縣,"3,065",739,664,"4,468",85,"4,553",0,"4,553","5,687","10,240",44.46
